2012-07-05 00:06:10	8412672a	183.213.18.16	st.ucweb.com	ucweb	0	0
2012-07-05 00:06:20	319b7db6	60.28.212.62	hdn.xnimg.cn:80	xnimg	1065	18816
2012-07-05 00:06:21	3272c9d5	211.151.139.246	www.umeng.com	umeng	785	436
2012-07-05 00:07:23	c247b2c5	74.125.71.105	www.google.com	google	600	555
2012-07-05 00:07:23	4e7ba299	111.13.12.15	m.baidu.com	baidu	0	0
2012-07-05 00:07:25	c247b2c5	74.125.71.105	www.google.com	google	1611	17028
2012-07-05 00:07:44	3f59cc32	216.74.41.14	data.flurry.com	flurry	919	393
2012-07-05 00:07:48	3f59cc32	211.100.33.113	dzh.mop.com	mop	1183	2586
2012-07-05 00:08:04	3f59cc32	211.100.33.113	dzh.mop.com	mop	1973	22826
2012-07-05 00:08:09	95ba3ead	121.207.242.12	market.hiapk.com	hiapk	456	84
2012-07-05 00:08:11	95ba3ead	121.207.242.12	market.hiapk.com	hiapk	564	592
2012-07-05 00:08:12	95ba3ead	121.207.242.12	market.hiapk.com	hiapk	618	1262
2012-07-05 00:08:14	319b7db6	60.28.212.62	hdn.xnimg.cn:80	xnimg	4266	138753
2012-07-05 00:08:22	3f59cc32	211.100.33.113	dzh.mop.com	mop	2583	39946
2012-07-05 00:08:24	3f59cc32	203.208.46.185	googleads.g.doubleclick.net:80	doubleclick	1547	2083
2012-07-05 00:08:25	3f59cc32	211.100.33.113	dzh.mop.com	mop	2619	39953
2012-07-05 00:08:36	3f59cc32	218.30.91.31	mopimg.cn	mopimg	900	9788
2012-07-05 00:08:36	3f59cc32	218.30.91.44	upload3.mop.com	mop	1302	4077
2012-07-05 00:08:36	3f59cc32	218.30.91.44	upload3.mop.com	mop	1653	15682
